english_speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
ale,ao,5.6973129651390515,15.191669128508122,16.166913010007693,80,0.089067489,7.712241579313132,16.594994052286392,-1.167147402,-6.072870957,-0.315093204
ale,ae,6.420740741,12.142900188323917,16.461689088191328,18.108,0.060225199,-0.00380234,16.826562886187865,0.014999440528141506,0.026573495886609066,0.5718565743108677
ale,ah,6.532686959789552,12.411538664555291,16.772563777817982,336.074,1.9128683282973844,1.076817390380091,17.148412443657836,-1.356140775,-0.87967226,-0.32557276
ale,ah,7.1160320933625085,11.398210138770885,15.766274509803923,90,-0.403668014,-0.485187122,16.13470619344678,-0.524154986,-0.127521764,-0.422299484
ale,ae,9.196905071521456,11.304907381020232,14.348210717529518,240,-1.067368016,-2.309968493,14.693263377176487,-1.328818176,3.3597964209249493,2.0507061685178662
ale,eh,3.9951823579304486,11.835909840571743,15.51204918032787,30,0.009454738,0.4376997018008577,15.887039394761038,0.009446722,-0.328920805,-0.042088267
ale,ah,4.901806347,11.756064123825317,15.755746044462247,110,-0.811618311,0.036219291,16.126388192088257,0,0.1784267306655387,0.21069163954167536
ale,eh,4.4215973377703826,14.208417183551573,16.10621490803485,80,0.22970158325167755,-0.396932739,16.43791227939533,-0.018200169,-0.371609227,-0.158027728
ale,uh,4.708735632183908,14.062469193210882,16.65060656038116,121,-0.044185302,0.057077929487453716,16.99039201413818,-0.169571379,-0.216827925,-0.589898665
ale,aa,8.793277870216306,14.697985452942472,17.268235294117645,169.05,0.6895490566569826,3.760350416446121,17.649454333159923,-1.796800806,-7.025492535,-1.769441695
ale,ih,4.849494290375203,13.26994800693241,13.976651837977053,40,0.26544804760063734,-0.249585747,14.322990772681225,-0.220750986,0.2650604820319362,0.5187327774075623
ale,ah,4.832,12.051026265908474,15.662178217821781,40,-0.165051438,0.7375884988905312,16.038314676528557,0.026230737871993703,0.072831493,-0.259346506
ale,aa,6.946813833701251,11.903091655266758,15.121027819069868,181,-0.552771584,0.3258336810082252,15.493597373453557,0.2942006590523718,-2.573930365,-0.536465166
